Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C8, C9",0805,4,1uF,
C3,CP_Elec_8x10.5,1,100uF,
D1,1206,1,LED,
D4,D_SOD-123,1,1N5819,
J1,PinHeader_2x10_P2.54mm_Vertical,1,Conn_02x10_Odd_Even,
J2,ADAFRUIT_4328,1,4328,
L2,L_Radial_D7.5mm_P3.50mm_Fastron_07P,1,10uH,
P1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Plug_USB2.0,
"R11, R3, R4",0805,3,4.7K,
"R12, R2",0805,2,470,
R13,0805,1,47K,
RV2,Potentiometer_Vishay_T93XA_Horizontal,1,50K,
"SW1, SW2",SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,2,SW_SPST,
U1,PLCC127P1244X1244X457-28N,1,MAX6921AQI_,
U2,MOUDLE14P-SMD-2.54-21X17.8MM (With Through Holes),1,MOUDLE-SEEEDUINO-XIAO-ESP32C3,
U3,SOT-23-5,1,AP3012,
U4,SOT-23-5,1,S-1167B24,
