Designator,Mid X,Mid Y,Rotation,Layer
C10,104.0,-23.25,90.0,top
C11,111.0,-23.25,270.0,top
C3,52.5,-42.25,0.0,top
C8,103.75,-48.0,270.0,top
C9,77.75,-51.5,270.0,top
D1,57.5,-21.8,90.0,top
D4,94.75,-51.25,270.0,top
J1,128.93,-38.01,0.0,top
J2,94.5,-22.5,0.0,top
L2,95.75,-39.0,180.0,top
P1,48.68,-21.675,180.0,top
R11,103.75,-40.75,270.0,top
R12,81.75,-51.5,270.0,top
R13,103.75,-33.5,90.0,top
R2,57.5,-29.9,270.0,top
R3,89.1,-22.5,270.0,top
R4,85.5,-22.5,270.0,top
RV2,120.96,-21.5,0.0,top
SW1,40.045,-46.03,90.0,top
SW2,40.0425,-35.995,90.0,top
U1,116.0,-45.44,0.0,top
U2,71.38,-30.96,0.0,top
U3,87.0,-51.25,90.0,top
U4,107.5,-21.75,270.0,top
